target,Account Balance,Duration of Credit (month),Payment Status of Previous Credit,Purpose,Credit Amount,Value Savings/Stocks,Length of current employment,Instalment per cent,Sex & Marital Status,Guarantors,Duration in Current address,Most valuable available asset,Age (years),Concurrent Credits,Type of apartment,No of Credits at this Bank,Occupation,No of dependents,Telephone,Foreign Worker
1,1.0,0.1176470588235294,1.0,0.0,0.03719599427753935,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.33928571428571425,1.0,0.5,0.0,0.0,0.0,0.0,0.0
1,1.0,0.3529411764705882,0.25,0.1,0.4167492021569275,1.0,0.25,0.6666666666666667,0.6666666666666667,1.0,1.0,0.0,0.37499999999999994,0.0,0.0,0.3333333333333333,0.6666666666666667,1.0,1.0,0.0
0,1.0,0.08823529411764706,0.5,0.2,0.10784637394079453,0.0,0.5,0.3333333333333333,0.6666666666666667,0.0,0.3333333333333333,0.0,0.10714285714285715,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
0,0.3333333333333333,0.47058823529411764,0.75,0.0,0.10867172884340266,0.0,1.0,1.0,0.6666666666666667,0.0,1.0,1.0,0.6785714285714286,0.0,1.0,0.3333333333333333,0.6666666666666667,0.0,1.0,0.0
1,1.0,0.2647058823529412,0.5,0.0,0.05683944095961263,1.0,0.75,1.0,0.3333333333333333,0.0,1.0,0.3333333333333333,0.10714285714285715,1.0,0.0,0.0,0.6666666666666667,0.0,0.0,0.0
1,1.0,0.25,0.5,0.9,0.07274127874986244,0.75,1.0,1.0,0.3333333333333333,0.0,1.0,0.0,0.30357142857142855,0.0,0.5,0.0,0.3333333333333333,0.0,0.0,0.0
0,0.3333333333333333,0.20588235294117646,1.0,0.30000000000000004,0.05474854187300539,0.0,0.5,1.0,1.0,0.0,0.3333333333333333,0.6666666666666667,0.25000000000000006,1.0,0.5,0.0,0.6666666666666667,0.0,0.0,0.0
1,1.0,0.1176470588235294,0.5,0.30000000000000004,0.030483107736326624,0.0,1.0,1.0,0.6666666666666667,0.0,1.0,0.6666666666666667,0.33928571428571425,1.0,0.5,0.0,0.6666666666666667,0.0,0.0,0.0
1,0.3333333333333333,0.058823529411764705,0.5,0.9,0.03615054473423572,0.0,0.25,0.6666666666666667,1.0,0.0,0.3333333333333333,0.0,0.125,1.0,0.5,0.0,0.6666666666666667,0.0,1.0,0.0
1,1.0,0.2941176470588235,1.0,0.30000000000000004,0.14427203697589966,0.25,1.0,0.6666666666666667,0.6666666666666667,0.0,1.0,0.0,0.30357142857142855,1.0,0.5,0.0,0.6666666666666667,1.0,1.0,0.0
1,0.3333333333333333,0.1176470588235294,0.5,0.9,0.04330362055683944,0.25,0.75,0.6666666666666667,0.6666666666666667,0.0,1.0,0.0,0.35714285714285715,1.0,0.5,0.0,0.3333333333333333,0.0,0.0,0.0
1,1.0,0.338235294117647,0.75,0.1,0.46016287003411466,0.75,0.5,0.3333333333333333,0.6666666666666667,0.0,0.3333333333333333,0.6666666666666667,0.14285714285714285,1.0,0.5,0.3333333333333333,0.6666666666666667,0.0,0.0,0.0
1,0.6666666666666667,0.47058823529411764,0.5,0.30000000000000004,0.30802244965335096,0.0,0.5,1.0,0.6666666666666667,0.0,0.0,0.6666666666666667,0.0892857142857143,1.0,0.5,0.0,0.6666666666666667,0.0,0.0,0.0
0,0.0,0.16176470588235292,0.5,0.4,0.05639925167822163,1.0,0.5,1.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666667,0.0892857142857143,1.0,0.0,0.0,0.6666666666666667,0.0,0.0,0.0
