target,numeric1,numeric2,numeric3,numeric4,numeric5,nominal1_0,nominal1_1,nominal1_2,nominal1_3,nominal1_4,nominal2_0,nominal2_1,nominal2_2,nominal2_3,nominal2_4,nominal3_0,nominal3_1,nominal3_2,nominal3_3,nominal3_4,nominal4_0,nominal4_1,nominal4_2,nominal4_3,nominal4_4,nominal5_0,nominal5_1,nominal5_2,nominal5_3,nominal5_4
0,0.0362353821503677,0.6588672394716129,0.7107396275716601,0.15273620134152174,0.15957805424728078,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1,0.3971743421847056,0.34751802920311026,0.2940570320040368,0.5064836273262351,0.11596708803265775,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,0.7616746929019993,0.6239725372159879,0.8792629643521901,0.4502184063975181,0.004852533415334981,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0.14202270321592614,0.481728301575598,0.5445548088936737,0.5771002613742765,0.2049135457585616,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
1,0.6835265034592647,0.4862595823117322,0.4875150254427949,0.12657499274364126,0.13020870455245015,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
1,0.4320068798935392,0.2331557947513334,0.8899087516553771,0.03832689331927541,0.5923792438629387,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,0.5862483975935397,0.9622148157170044,0.26515529117956005,0.3628960022829441,0.8784288366676899,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,0.9989808147679288,0.6304048639228539,0.9095840355890242,0.5076599160699481,0.4914512055616126,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
1,0.4946194136502534,0.015384379170726768,0.35899459082855023,0.2424783341430502,0.8011570655624328,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
1,0.6990066224344805,0.20463555220568552,0.2549094512998157,0.7779163595195279,0.22502238600837546,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
1,0.09014655892705203,0.437422687374017,0.3207844348067107,0.6544260178683681,0.3728733093735273,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1,0.7233716462158025,0.5094929196703692,0.9871021380963,0.15324623281626104,0.7105747751483344,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
1,0.7077681792059891,0.26590316146240056,0.06344924296656074,0.5908697996753509,0.2840091674244269,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0.679935420191025,0.280001615782666,0.6039836876835672,0.8496408070142764,0.3538232827704746,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
1,0.8257518968619348,0.5397618625049699,0.6418366935224562,0.9706215451850492,0.8632577915463435,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
